3-level ('m1p', 'm2p', 'm3p', 'x1'): multi-group P-forms 0, minimal-feasible multi: []
3-level ('m1p', 'm3p', 'x1', 'x2'): multi-group P-forms 0, minimal-feasible multi: []
3-level ('m1p', 'm2p', 'm3p', 'x2'): multi-group P-forms 0, minimal-feasible multi: []
3-level ('m1m', 'm2m', 'm3m', 'x1'): multi-group P-forms 0, minimal-feasible multi: []
3-level ('m1m', 'm3m', 'x1', 'x2'): multi-group P-forms 0, minimal-feasible multi: []
3-level ('m1m', 'm2m', 'm3m', 'x2'): multi-group P-forms 0, minimal-feasible multi: []
3-level ('m2p', 'm3p', 'x1', 'y'): multi-group P-forms 0, minimal-feasible multi: []
3-level ('m2m', 'm3m', 'x1', 'y'): multi-group P-forms 0, minimal-feasible multi: []
4-level ('m1p', 'm2p', 'm4p', 'x3'): multi-group P-forms 0, minimal-feasible multi: []
4-level ('m1p', 'm3p', 'm4p', 'x2'): multi-group P-forms 0, minimal-feasible multi: []
4-level ('m1p', 'm3m', 'm4m', 'x2'): multi-group P-forms 0, minimal-feasible multi: []
4-level ('m1p', 'm4p', 'x2', 'x3'): multi-group P-forms 0, minimal-feasible multi: []
4-level ('m1m', 'm2m', 'm4m', 'x3'): multi-group P-forms 0, minimal-feasible multi: []
4-level ('m1m', 'm3p', 'm4p', 'x2'): multi-group P-forms 0, minimal-feasible multi: []
4-level ('m1m', 'm3m', 'm4m', 'x2'): multi-group P-forms 0, minimal-feasible multi: []
4-level ('m1m', 'm4m', 'x2', 'x3'): multi-group P-forms 0, minimal-feasible multi: []
4-level ('m2p', 'm3p', 'm4p', 'x1'): multi-group P-forms 0, minimal-feasible multi: []
4-level ('m2p', 'm4p', 'x1', 'x3'): multi-group P-forms 0, minimal-feasible multi: []
4-level ('m2m', 'm3m', 'm4m', 'x1'): multi-group P-forms 0, minimal-feasible multi: []
4-level ('m2m', 'm4m', 'x1', 'x3'): multi-group P-forms 0, minimal-feasible multi: []
