residual leaves: 6208
p=5 done, checks=490432
p=13 done, checks=980864
p=17 done, checks=1471296
p=29 done, checks=1961728
p=37 done, checks=2452160
p=41 done, checks=2942592
p=53 done, checks=3433024
p=61 done, checks=3923456
p=73 done, checks=4413888
p=89 done, checks=4904320
p=97 done, checks=5394752
p=101 done, checks=5885184
p=109 done, checks=6375616
p=113 done, checks=6866048
p=137 done, checks=7356480
p=149 done, checks=7846912
p=157 done, checks=8337344
p=173 done, checks=8827776
p=181 done, checks=9318208
p=193 done, checks=9808640
p=197 done, checks=10299072
p=229 done, checks=10789504
p=233 done, checks=11279936
p=241 done, checks=11770368
p=257 done, checks=12260800
p=269 done, checks=12751232
p=277 done, checks=13241664
p=281 done, checks=13732096
p=293 done, checks=14222528
p=313 done, checks=14712960
p=317 done, checks=15203392
p=337 done, checks=15693824
p=349 done, checks=16184256
p=353 done, checks=16674688
p=373 done, checks=17165120
p=389 done, checks=17655552
p=397 done, checks=18145984
p=401 done, checks=18636416
p=409 done, checks=19126848
p=421 done, checks=19617280
p=433 done, checks=20107712
p=449 done, checks=20598144
p=457 done, checks=21088576
p=461 done, checks=21579008
p=509 done, checks=22069440
p=521 done, checks=22559872
p=541 done, checks=23050304
p=557 done, checks=23540736
p=569 done, checks=24031168
p=577 done, checks=24521600
p=593 done, checks=25012032
p=601 done, checks=25502464
p=613 done, checks=25992896
p=617 done, checks=26483328
p=641 done, checks=26973760
p=653 done, checks=27464192
p=661 done, checks=27954624
p=673 done, checks=28445056
p=677 done, checks=28935488
p=701 done, checks=29425920
p=709 done, checks=29916352
p=733 done, checks=30406784
p=757 done, checks=30897216
p=761 done, checks=31387648
p=769 done, checks=31878080
p=773 done, checks=32368512
p=797 done, checks=32858944
p=809 done, checks=33349376
p=821 done, checks=33839808
p=829 done, checks=34330240
p=853 done, checks=34820672
p=857 done, checks=35311104
p=877 done, checks=35801536
p=881 done, checks=36291968
p=929 done, checks=36782400
p=937 done, checks=37272832
p=941 done, checks=37763264
p=953 done, checks=38253696
p=977 done, checks=38744128
p=997 done, checks=39234560
TOTAL checks 39234560; satisfied leaves: 0
