...1000 {'ZERO-KILL': 320, 'RESID-KILL': 271, 'IMB-KILL': 304, 'FAIL': 72, 'SING': 32}
...2000 {'ZERO-KILL': 640, 'RESID-KILL': 480, 'IMB-KILL': 607, 'FAIL': 208, 'SING': 64}
...3000 {'ZERO-KILL': 960, 'RESID-KILL': 628, 'IMB-KILL': 1056, 'FAIL': 259, 'SING': 96}
...4000 {'ZERO-KILL': 1280, 'RESID-KILL': 960, 'IMB-KILL': 1279, 'FAIL': 352, 'SING': 128}
...5000 {'ZERO-KILL': 1536, 'RESID-KILL': 1152, 'IMB-KILL': 1639, 'FAIL': 512, 'SING': 160}
...6000 {'ZERO-KILL': 1536, 'RESID-KILL': 1664, 'IMB-KILL': 1856, 'FAIL': 576, 'SING': 367}
...7000 {'ZERO-KILL': 1536, 'RESID-KILL': 2176, 'IMB-KILL': 1991, 'FAIL': 656, 'SING': 640}
...8000 {'ZERO-KILL': 1663, 'RESID-KILL': 2608, 'IMB-KILL': 2144, 'FAIL': 720, 'SING': 864}
...9000 {'ZERO-KILL': 1975, 'RESID-KILL': 2912, 'IMB-KILL': 2448, 'FAIL': 768, 'SING': 896}
...10000 {'ZERO-KILL': 2287, 'RESID-KILL': 3136, 'IMB-KILL': 2768, 'FAIL': 880, 'SING': 928}
...11000 {'ZERO-KILL': 2560, 'RESID-KILL': 3367, 'IMB-KILL': 3216, 'FAIL': 896, 'SING': 960}
...12000 {'ZERO-KILL': 2816, 'RESID-KILL': 3696, 'IMB-KILL': 3519, 'FAIL': 960, 'SING': 1008}
...13000 {'ZERO-KILL': 3072, 'RESID-KILL': 3967, 'IMB-KILL': 3840, 'FAIL': 1064, 'SING': 1056}
...14000 {'ZERO-KILL': 3072, 'RESID-KILL': 4464, 'IMB-KILL': 3984, 'FAIL': 1183, 'SING': 1296}
...15000 {'ZERO-KILL': 3072, 'RESID-KILL': 4963, 'IMB-KILL': 4128, 'FAIL': 1300, 'SING': 1536}
...16000 {'ZERO-KILL': 3279, 'RESID-KILL': 5320, 'IMB-KILL': 4304, 'FAIL': 1368, 'SING': 1728}
...17000 {'ZERO-KILL': 3584, 'RESID-KILL': 5732, 'IMB-KILL': 4512, 'FAIL': 1411, 'SING': 1760}
...18000 {'ZERO-KILL': 3840, 'RESID-KILL': 6240, 'IMB-KILL': 4624, 'FAIL': 1488, 'SING': 1807}
...19000 {'ZERO-KILL': 4096, 'RESID-KILL': 6656, 'IMB-KILL': 4864, 'FAIL': 1536, 'SING': 1847}
...20000 {'ZERO-KILL': 4416, 'RESID-KILL': 7087, 'IMB-KILL': 5024, 'FAIL': 1584, 'SING': 1888}
...21000 {'ZERO-KILL': 4608, 'RESID-KILL': 7456, 'IMB-KILL': 5335, 'FAIL': 1664, 'SING': 1936}
...22000 {'ZERO-KILL': 4608, 'RESID-KILL': 7640, 'IMB-KILL': 5807, 'FAIL': 1768, 'SING': 2176}
...23000 {'ZERO-KILL': 4608, 'RESID-KILL': 7800, 'IMB-KILL': 6263, 'FAIL': 1912, 'SING': 2416}
...24000 {'ZERO-KILL': 4864, 'RESID-KILL': 8000, 'IMB-KILL': 6479, 'FAIL': 2064, 'SING': 2592}
...25000 {'ZERO-KILL': 5120, 'RESID-KILL': 8399, 'IMB-KILL': 6640, 'FAIL': 2200, 'SING': 2640}
...26000 {'ZERO-KILL': 5439, 'RESID-KILL': 8736, 'IMB-KILL': 6832, 'FAIL': 2304, 'SING': 2688}
...27000 {'ZERO-KILL': 5751, 'RESID-KILL': 9040, 'IMB-KILL': 7024, 'FAIL': 2464, 'SING': 2720}
...28000 {'ZERO-KILL': 6063, 'RESID-KILL': 9448, 'IMB-KILL': 7136, 'FAIL': 2600, 'SING': 2752}
...29000 {'ZERO-KILL': 6144, 'RESID-KILL': 9744, 'IMB-KILL': 7591, 'FAIL': 2688, 'SING': 2832}
...30000 {'ZERO-KILL': 6144, 'RESID-KILL': 10064, 'IMB-KILL': 8016, 'FAIL': 2688, 'SING': 3087}
...31000 {'ZERO-KILL': 6144, 'RESID-KILL': 10352, 'IMB-KILL': 8432, 'FAIL': 2688, 'SING': 3383}
FINAL: {'ZERO-KILL': 6144, 'RESID-KILL': 10368, 'IMB-KILL': 8448, 'FAIL': 2688, 'SING': 3456} total=31104
